# ----------------------------------------
# All Web Site Data
# Location
# 20210701-20210730
# ----------------------------------------

City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Vilnius,117,116,154,29.87%,4.84,00:02:55,0.00%,0,$0.00
Kaunas,20,20,24,16.67%,5.79,00:04:03,0.00%,0,$0.00
(not set),14,13,18,44.44%,5.83,00:02:52,0.00%,0,$0.00
Panevezys,9,8,9,22.22%,8.56,00:05:30,0.00%,0,$0.00
Klaipeda,5,5,8,25.00%,5.12,00:04:44,0.00%,0,$0.00
Siauliai,5,5,5,0.00%,3.60,00:04:03,0.00%,0,$0.00
(not set),3,3,3,33.33%,6.67,00:01:25,0.00%,0,$0.00
Taurage,2,2,2,0.00%,2.50,00:00:35,0.00%,0,$0.00
(not set),2,1,3,66.67%,3.33,00:00:19,0.00%,0,$0.00
(not set),2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
,201,197,251,30.68%,5.05,00:02:56,0.00%,0,$0.00
