# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20210701-20210730
# ----------------------------------------

Browser,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Chrome,133,134,175,28.57%,5.33,00:02:47,0.00%,0,$0.00
Samsung Internet,20,20,22,18.18%,5.36,00:02:53,0.00%,0,$0.00
Safari,18,18,21,57.14%,2.14,00:03:45,0.00%,0,$0.00
Firefox,13,13,21,28.57%,5.43,00:03:03,0.00%,0,$0.00
Edge,6,6,6,0.00%,6.83,00:07:01,0.00%,0,$0.00
Android Webview,5,5,5,80.00%,3.00,00:00:26,0.00%,0,$0.00
Opera,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
,196,197,251,30.68%,5.05,00:02:56,0.00%,0,$0.00

Day Index,Users
7/1/21,0
7/2/21,0
7/3/21,0
7/4/21,0
7/5/21,0
7/6/21,0
7/7/21,0
7/8/21,0
7/9/21,0
7/10/21,0
7/11/21,0
7/12/21,0
7/13/21,0
7/14/21,0
7/15/21,0
7/16/21,2
7/17/21,6
7/18/21,1
7/19/21,6
7/20/21,1
7/21/21,2
7/22/21,1
7/23/21,0
7/24/21,108
7/25/21,36
7/26/21,21
7/27/21,16
7/28/21,6
7/29/21,6
7/30/21,5
,217
