# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20210801-20210831
# ----------------------------------------

Browser,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android Webview,69,69,73,49.32%,2.82,00:01:02,0.00%,0,$0.00
Chrome,55,51,70,40.00%,5.46,00:02:15,0.00%,0,$0.00
Safari (in-app),21,21,24,41.67%,3.50,00:02:08,0.00%,0,$0.00
Firefox,14,13,18,33.33%,2.94,00:02:18,0.00%,0,$0.00
Safari,7,7,7,71.43%,2.29,00:00:58,0.00%,0,$0.00
Opera,4,4,5,20.00%,5.20,00:03:22,0.00%,0,$0.00
Samsung Internet,2,1,4,25.00%,7.25,00:08:19,0.00%,0,$0.00
,172,166,201,43.28%,3.96,00:01:54,0.00%,0,$0.00

Day Index,Users
8/1/21,1
8/2/21,1
8/3/21,0
8/4/21,6
8/5/21,2
8/6/21,1
8/7/21,4
8/8/21,1
8/9/21,3
8/10/21,6
8/11/21,60
8/12/21,10
8/13/21,5
8/14/21,3
8/15/21,2
8/16/21,1
8/17/21,6
8/18/21,1
8/19/21,12
8/20/21,1
8/21/21,2
8/22/21,1
8/23/21,1
8/24/21,2
8/25/21,4
8/26/21,5
8/27/21,4
8/28/21,0
8/29/21,3
8/30/21,4
8/31/21,39
,191
