# ----------------------------------------
# All Web Site Data
# Overview
# 20210801-20210831
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
mobile,136,132,152,47.37%,3.32,00:01:38,0.00%,0,$0.00
desktop,29,28,41,29.27%,6.59,00:02:41,0.00%,0,$0.00
tablet,7,6,8,37.50%,2.38,00:02:02,0.00%,0,$0.00
,172,166,201,43.28%,3.95,00:01:52,0.00%,0,$0.00

Day Index,Users
8/1/21,1
8/2/21,1
8/3/21,0
8/4/21,6
8/5/21,2
8/6/21,1
8/7/21,4
8/8/21,1
8/9/21,3
8/10/21,6
8/11/21,60
8/12/21,10
8/13/21,5
8/14/21,3
8/15/21,2
8/16/21,1
8/17/21,6
8/18/21,1
8/19/21,12
8/20/21,1
8/21/21,2
8/22/21,1
8/23/21,1
8/24/21,2
8/25/21,4
8/26/21,5
8/27/21,4
8/28/21,0
8/29/21,3
8/30/21,4
8/31/21,39
,191
