# ----------------------------------------
# All Web Site Data
# Location
# 20210801-20210831
# ----------------------------------------

City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Vilnius,92,86,104,47.12%,3.62,00:01:43,0.00%,0,$0.00
(not set),19,19,23,43.48%,4.00,00:02:03,0.00%,0,$0.00
(not set),11,11,12,41.67%,3.17,00:00:34,0.00%,0,$0.00
Panevezys,10,9,15,40.00%,6.33,00:03:51,0.00%,0,$0.00
(not set),9,9,10,30.00%,4.40,00:02:02,0.00%,0,$0.00
Mazeikiai,4,4,4,0.00%,5.00,00:00:59,0.00%,0,$0.00
Kaunas,4,3,5,60.00%,5.80,00:06:08,0.00%,0,$0.00
Klaipeda,3,3,3,0.00%,3.33,00:00:58,0.00%,0,$0.00
(not set),3,2,4,75.00%,1.50,00:00:30,0.00%,0,$0.00
Dublin,2,2,2,50.00%,1.50,00:00:08,0.00%,0,$0.00
,176,166,201,43.28%,3.95,00:01:52,0.00%,0,$0.00
